New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
155,7.0,9.0,8.0,5.5,Single,4.013248542660308,131999.4,7.594181275643416,49.5,Female,2011,0,0
156,9.0,10.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,0,0
157,7.0,8.0,4.0,25.0,Cohabitee,4.013248542660308,107999.4,7.594181275643416,59.5,Male,2011,0,0
158,5.0,8.0,3.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,0,0
159,10.0,7.0,5.0,25.0,Cohabitee,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,0,1
160,5.0,7.0,7.0,13.0,Married,4.013248542660308,131999.4,7.594181275643416,49.5,Male,2011,1,0
161,8.0,10.0,8.0,5.5,Divorced,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,1
162,10.0,5.0,6.687547980961154,0.5,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Male,2011,0,0
163,9.0,8.0,6.0,5.5,Married,4.013248542660308,107999.4,7.594181275643416,39.5,Female,2011,1,0
164,8.0,8.0,3.0,9.0,Married,4.013248542660308,12000.0,7.594181275643416,80.0,Male,2011,0,0
165,10.0,10.0,8.0,25.0,Widowed,4.013248542660308,83999.4,7.594181275643416,69.5,Female,2011,0,0
166,10.0,10.0,1.0,25.0,Divorced,4.013248542660308,12000.0,7.594181275643416,49.5,Female,2011,0,0
167,1.0,9.0,5.0,25.0,Widowed,4.013248542660308,83999.4,7.594181275643416,69.5,Male,2011,0,0
168,10.0,10.0,7.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,69.5,Female,2011,0,0
169,8.0,6.0,5.0,2.0,Divorced,4.013248542660308,12000.0,7.594181275643416,80.0,Male,2011,0,1
170,8.0,7.0,8.0,25.0,Divorced,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,1,1
171,8.0,7.0,8.0,2.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,39.5,Male,2011,0,1
172,8.0,7.0,8.0,9.0,Single,4.013248542660308,12000.0,7.594181275643416,69.5,Female,2011,0,1
173,5.0,7.0,6.687547980961154,25.0,Divorced,4.013248542660308,12000.0,7.594181275643416,80.0,Male,2011,0,0
174,10.0,10.0,6.0,25.0,Cohabitee,4.013248542660308,100894.45434919304,7.594181275643416,39.5,Male,2011,0,0
175,9.0,10.0,8.0,25.0,Married,4.013248542660308,35999.4,7.594181275643416,69.5,Male,2011,0,0
176,9.0,9.0,8.0,18.0,Married,4.013248542660308,83999.4,7.594181275643416,49.5,Female,2011,1,0
177,10.0,6.0,4.0,25.0,Married,4.013248542660308,131999.4,7.594181275643416,80.0,Male,2011,0,0
178,10.0,10.0,10.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Female,2011,0,0
179,10.0,8.0,10.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Female,2011,0,0
180,8.0,7.0,5.0,2.0,Single,4.013248542660308,35999.4,7.594181275643416,29.5,Female,2011,0,0
181,9.0,10.0,3.0,5.5,Married,4.013248542660308,59999.399999999994,7.594181275643416,39.5,Female,2011,1,1
182,8.0,10.0,3.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Female,2011,0,0
183,8.0,5.0,6.687547980961154,25.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Male,2011,0,1
184,6.0,10.0,7.0,13.0,Married,4.013248542660308,107999.4,7.594181275643416,49.5,Female,2011,1,0
185,10.0,10.0,10.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
186,9.0,10.0,7.0,25.0,Widowed,4.013248542660308,107999.4,7.594181275643416,69.5,Male,2011,0,0
187,9.0,6.0,10.0,25.0,Divorced,4.013248542660308,179999.4,7.594181275643416,59.5,Female,2011,0,0
188,10.0,10.0,7.0,25.0,Cohabitee,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Male,2011,0,1
189,8.0,8.0,5.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Male,2011,1,0
190,5.0,8.0,7.0,18.0,Single,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,0,0
191,9.0,10.0,3.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,69.5,Male,2011,0,1
192,10.0,10.0,10.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,0,1
193,10.0,7.0,7.0,25.0,Married,4.013248542660308,107999.4,7.594181275643416,59.5,Male,2011,0,0
194,10.0,8.0,6.0,5.5,Married,4.013248542660308,131999.4,7.594181275643416,29.5,Male,2011,1,0
195,8.0,5.0,5.0,25.0,Single,4.013248542660308,155999.4,7.594181275643416,59.5,Male,2011,0,0
196,9.0,7.0,7.0,5.5,Married,4.013248542660308,227999.4,7.594181275643416,39.5,Male,2011,1,0
197,7.0,10.0,10.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,1,1
198,9.0,8.0,4.0,18.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,21.0,Male,2011,1,1
199,8.0,8.0,8.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,0
200,3.0,10.0,6.0,25.0,Single,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,0,1
201,7.0,6.0,7.0,2.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,29.5,Female,2011,0,1
202,8.0,10.0,9.0,5.5,Cohabitee,4.013248542660308,131999.4,7.594181275643416,29.5,Female,2011,0,1
203,8.0,5.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,39.5,Female,2011,0,1
204,9.0,8.0,8.0,5.5,Married,4.013248542660308,203999.4,7.594181275643416,39.5,Male,2011,1,0
205,5.0,5.0,2.0,5.5,Cohabitee,4.013248542660308,12000.0,7.594181275643416,29.5,Female,2011,0,1
206,8.0,8.0,7.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,59.5,Male,2011,0,0
207,6.0,8.0,7.0,18.0,Divorced,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,0,0
208,8.0,7.0,7.0,25.0,Cohabitee,4.013248542660308,155999.4,7.594181275643416,49.5,Female,2011,0,1
209,7.0,5.0,6.0,5.5,Cohabitee,4.013248542660308,59999.399999999994,7.594181275643416,29.5,Female,2011,0,0
210,8.0,9.0,7.0,2.0,Single,4.013248542660308,12000.0,7.594181275643416,29.5,Female,2011,0,1
